question,ground_truth_sql,generated_sql,success,error,latency,attempts,method
List all artists.,SELECT * FROM Artist,SELECT DISTINCT A.Name FROM Artist AS A,True,,19.081,1,improved+retry
List all albums.,SELECT * FROM Album,"SELECT AlbumId, Title, ArtistId FROM Album",True,,2.602,1,improved+retry
How many artists are there?,SELECT COUNT(*) AS total_artists FROM Artist,SELECT count(*) FROM Artist,True,,1.75,1,improved+retry
How many albums are there?,SELECT COUNT(*) AS total_albums FROM Album,SELECT count(*) FROM Album,True,,1.755,1,improved+retry
How many tracks are there?,SELECT COUNT(*) AS total_tracks FROM Track,SELECT count(*) FROM Track,True,,1.573,1,improved+retry
Show all genres.,SELECT * FROM Genre,SELECT Name FROM Genre,True,,1.561,1,improved+retry
Show all media types.,SELECT * FROM MediaType,SELECT Name FROM MediaType,True,,1.522,1,improved+retry
List all playlists.,SELECT * FROM Playlist,"SELECT PlaylistId, Name FROM Playlist",True,,2.032,1,improved+retry
How many customers are there?,SELECT COUNT(*) AS total_customers FROM Customer,SELECT count(*) FROM Customer,True,,1.823,1,improved+retry
How many employees are there?,SELECT COUNT(*) AS total_employees FROM Employee,SELECT count(*) FROM Employee,True,,1.713,1,improved+retry
List all customers from Brazil.,SELECT * FROM Customer WHERE Country = 'Brazil',SELECT * FROM Customer WHERE Country = 'Brazil',True,,3.719,1,improved+retry
List all customers from Germany.,SELECT * FROM Customer WHERE Country = 'Germany',"SELECT CustomerId, FirstName, LastName, Company, Address, City, State, Country, PostalCode, Phone, Fax, Email, SupportRepId FROM Customer WHERE Country = 'Germany'",True,,11.98,1,improved+retry
Show the first name and last name of all employees.,"SELECT FirstName, LastName FROM Employee","SELECT FirstName, LastName FROM Employee",True,,2.159,1,improved+retry
Find all tracks in the Rock genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Rock',SELECT T.Name FROM Track AS T JOIN Genre AS G ON T.GenreId = G.GenreId WHERE G.Name = 'Rock',True,,7.211,1,improved+retry
Find all tracks in the Jazz genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Jazz',"SELECT TrackId, Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Jazz'",True,,23.532,2,improved+retry
List all albums by the artist AC/DC.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'AC/DC',SELECT A.Title FROM Album AS A JOIN Artist AS AR ON A.ArtistId = AR.ArtistId WHERE AR.Name = 'AC/DC',True,,17.01,1,improved+retry
List all albums by the artist Metallica.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'Metallica',SELECT A.Title FROM Album AS A JOIN Artist AS AR ON A.ArtistId = AR.ArtistId WHERE AR.Name = 'Metallica',True,,6.163,1,improved+retry
Show the total number of tracks per genre.,"SELECT Genre.Name, COUNT(Track.TrackId) AS total_tracks FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId GROUP BY Genre.Name","SELECT T.GenreId, AVG(T.Bytes) FROM Track AS T GROUP BY T.GenreId",True,,4.805,1,improved+retry
Show the total number of albums per artist.,"SELECT Artist.Name, COUNT(Album.AlbumId) AS total_albums FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId GROUP BY Artist.Name","SELECT A.ArtistId, COUNT(AL.AlbumId) AS TotalAlbums FROM Artist AS A JOIN Album AS AL ON A.ArtistId = AL.ArtistId GROUP BY A.ArtistId",True,,32.268,2,improved+retry
What is the most expensive track?,"SELECT Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 1",SELECT Name FROM Track WHERE UnitPrice = (SELECT MAX(UnitPrice) FROM Track),True,,14.19,1,improved+retry
What are the top 5 longest tracks?,"SELECT Name, Milliseconds FROM Track ORDER BY Milliseconds DESC LIMIT 5",SELECT Name FROM Track ORDER BY Milliseconds DESC LIMIT 5,True,,17.833,2,improved+retry
List all invoices from 2010.,"SELECT * FROM Invoice WHERE strftime('%Y', InvoiceDate) = '2010'","SELECT InvoiceId, CustomerId, InvoiceDate, BillingAddress, BillingCity, BillingState, BillingCountry, BillingPostalCode, Total FROM Invoice WHERE strftime('%Y', InvoiceDate) = '2010'",True,,18.469,1,improved+retry
What is the total revenue from all invoices?,SELECT SUM(Total) AS total_revenue FROM Invoice,SELECT SUM(Total) FROM Invoice,True,,2.66,1,improved+retry
Which country has the most customers?,"SELECT Country, COUNT(*) AS total FROM Customer GROUP BY Country ORDER BY total DESC LIMIT 1",SELECT Country FROM Customer GROUP BY Country ORDER BY COUNT(*) DESC LIMIT 1,True,,3.428,1,improved+retry
Show all tracks in the playlist Music.,SELECT Track.Name FROM Track JOIN PlaylistTrack ON Track.TrackId = PlaylistTrack.TrackId JOIN Playlist ON PlaylistTrack.PlaylistId = Playlist.PlaylistId WHERE Playlist.Name = 'Music',SELECT T.Name FROM Track AS T JOIN PlaylistTrack AS PT ON T.TrackId = PT.TrackId JOIN Playlist AS P ON PT.PlaylistId = P.PlaylistId WHERE P.Name = 'Music',True,,8.277,1,improved+retry
Show all tracks in the playlist Movies.,SELECT Track.Name FROM Track JOIN PlaylistTrack ON Track.TrackId = PlaylistTrack.TrackId JOIN Playlist ON PlaylistTrack.PlaylistId = Playlist.PlaylistId WHERE Playlist.Name = 'Movies',SELECT T.Name FROM Track AS T JOIN PlaylistTrack AS PT ON T.TrackId = PT.TrackId WHERE PT.PlaylistId = (SELECT PlaylistId FROM Playlist WHERE Name = 'Movies'),True,,7.24,1,improved+retry
How many tracks are in each playlist?,"SELECT Playlist.Name, COUNT(PlaylistTrack.TrackId) AS track_count FROM Playlist JOIN PlaylistTrack ON Playlist.PlaylistId = PlaylistTrack.PlaylistId GROUP BY Playlist.Name","SELECT p.PlaylistId, COUNT(pt.TrackId) AS NumberOfTracks FROM Playlist AS p JOIN PlaylistTrack AS pt ON p.PlaylistId = pt.PlaylistId GROUP BY p.PlaylistId",True,,10.333,1,improved+retry
List the names of all customers who have made an invoice.,"SELECT DISTINCT Customer.FirstName, Customer.LastName FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId","SELECT DISTINCT C.FirstName, C.LastName FROM Customer AS C JOIN Invoice AS I ON C.CustomerId = I.CustomerId",True,,5.09,1,improved+retry
What is the average invoice total?,SELECT AVG(Total) AS avg_total FROM Invoice,SELECT AVG(Total) FROM Invoice,True,,2.067,1,improved+retry
Which employee has the most customers assigned?,"SELECT Employee.FirstName, Employee.LastName, COUNT(Customer.CustomerId) AS total FROM Employee JOIN Customer ON Employee.EmployeeId = Customer.SupportRepId GROUP BY Employee.EmployeeId ORDER BY total DESC LIMIT 1","SELECT E.FirstName, E.LastName FROM Employee AS E JOIN Customer AS C ON E.EmployeeId = C.SupportRepId GROUP BY E.EmployeeId ORDER BY COUNT(C.CustomerId) DESC LIMIT 1",True,,8.817,1,improved+retry
List all tracks composed by Angus Young.,SELECT Name FROM Track WHERE Composer = 'Angus Young',SELECT T.Name FROM Track AS T WHERE T.Composer = 'Angus Young',True,,5.322,1,improved+retry
Show the total sales per country.,"SELECT BillingCountry, SUM(Total) AS total_sales FROM Invoice GROUP BY BillingCountry ORDER BY total_sales DESC","SELECT BillingCountry, AVG(Total) AS TotalSales FROM Invoice GROUP BY BillingCountry",True,,5.429,1,improved+retry
How many invoices were made in each year?,"SELECT strftime('%Y', InvoiceDate) AS year, COUNT(*) AS total FROM Invoice GROUP BY year","SELECT STRFTIME('%Y', InvoiceDate) AS InvoiceYear, COUNT(InvoiceId) FROM Invoice GROUP BY InvoiceYear ORDER BY InvoiceYear",True,,7.944,1,improved+retry
Find customers who spent more than 40 dollars in total.,"SELECT Customer.FirstName, Customer.LastName, SUM(Invoice.Total) AS total_spent FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId GROUP BY Customer.CustomerId HAVING total_spent > 40","SELECT
  c.CustomerId,
  c.FirstName,
  c.LastName,
  AVG(i.Total) AS TotalSpent
FROM Customer AS c
JOIN Invoice AS i
  ON c.CustomerId = i.CustomerId
GROUP BY
  c.CustomerId,
  c.FirstName,
  c.LastName
HAVING
  AVG(i.Total) > 40",True,,16.465,1,improved+retry
List tracks that cost more than 1 dollar.,"SELECT Name, UnitPrice FROM Track WHERE UnitPrice > 1","SELECT TrackId, Name FROM Track WHERE UnitPrice > 1",True,,3.132,1,improved+retry
Show albums that have more than 10 tracks.,"SELECT Album.Title, COUNT(Track.TrackId) AS track_count FROM Album JOIN Track ON Album.AlbumId = Track.AlbumId GROUP BY Album.AlbumId HAVING track_count > 10","SELECT
  A.Title
FROM Album AS A
JOIN Track AS T
  ON A.AlbumId = T.AlbumId
GROUP BY
  A.AlbumId
HAVING
  COUNT(T.TrackId) > 10",True,,10.408,1,improved+retry
List all artists who have more than 5 albums.,"SELECT Artist.Name, COUNT(Album.AlbumId) AS album_count FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId GROUP BY Artist.ArtistId HAVING album_count > 5",SELECT A.Name FROM Artist AS A JOIN Album AS AL ON A.ArtistId = AL.ArtistId GROUP BY A.ArtistId HAVING COUNT(AL.AlbumId) > 5,True,,10.041,1,improved+retry
What are the unique billing countries in invoices?,SELECT DISTINCT BillingCountry FROM Invoice ORDER BY BillingCountry,SELECT DISTINCT BillingCountry FROM Invoice,True,,2.326,1,improved+retry
Show the top 10 customers by total spending.,"SELECT Customer.FirstName, Customer.LastName, SUM(Invoice.Total) AS total_spent FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId GROUP BY Customer.CustomerId ORDER BY total_spent DESC LIMIT 10","SELECT
  C.FirstName,
  C.LastName,
  SUM(IL.UnitPrice * IL.Quantity) AS TotalSpending
FROM Customer AS C
JOIN Invoice AS I
  ON C.CustomerId = I.CustomerId
JOIN InvoiceLine AS IL
  ON I.InvoiceId = IL.InvoiceId
GROUP BY
  C.CustomerId,
  C.FirstName,
  C.LastName
ORDER BY
  TotalSpending DESC
LIMIT 10",True,,19.307,1,improved+retry
Find all tracks that have never been sold.,SELECT Track.Name FROM Track WHERE Track.TrackId NOT IN (SELECT TrackId FROM InvoiceLine),"SELECT T.TrackId, T.Name FROM Track AS T WHERE T.TrackId NOT IN (SELECT InvoiceLine.TrackId FROM InvoiceLine)",True,,7.035,1,improved+retry
What is the most popular genre by number of tracks sold?,"SELECT Genre.Name, COUNT(InvoiceLine.TrackId) AS total_sold FROM InvoiceLine JOIN Track ON InvoiceLine.TrackId = Track.TrackId JOIN Genre ON Track.GenreId = Genre.GenreId GROUP BY Genre.Name ORDER BY total_sold DESC LIMIT 1","SELECT T.GenreId, COUNT(*) AS TrackCount
FROM Track AS T
GROUP BY T.GenreId
ORDER BY TrackCount DESC
LIMIT 1",True,,7.433,1,improved+retry
Show the total revenue per genre.,"SELECT Genre.Name, SUM(InvoiceLine.UnitPrice * InvoiceLine.Quantity) AS revenue FROM InvoiceLine JOIN Track ON InvoiceLine.TrackId = Track.TrackId JOIN Genre ON Track.GenreId = Genre.GenreId GROUP BY Genre.Name ORDER BY revenue DESC","SELECT g.Name, AVG(tl.UnitPrice * tl.Quantity) AS TotalRevenue FROM Genre AS g JOIN Track AS t ON g.GenreId = t.GenreId JOIN InvoiceLine AS tl ON t.TrackId = tl.TrackId GROUP BY g.Name",True,,10.501,1,improved+retry
List all tracks from the album Nevermind.,SELECT Track.Name FROM Track JOIN Album ON Track.AlbumId = Album.AlbumId WHERE Album.Title = 'Nevermind',SELECT T.Name FROM Track AS T JOIN Album AS A ON T.AlbumId = A.AlbumId WHERE A.Title = 'Nevermind',True,,6.514,1,improved+retry
Which artist has the most tracks?,"SELECT Artist.Name, COUNT(Track.TrackId) AS total_tracks FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId JOIN Track ON Album.AlbumId = Track.AlbumId GROUP BY Artist.ArtistId ORDER BY total_tracks DESC LIMIT 1","SELECT Artist.ArtistId, COUNT(Track.TrackId) AS TrackCount FROM Track JOIN Artist ON Track.AlbumId = Artist.ArtistId GROUP BY Artist.ArtistId ORDER BY TrackCount DESC LIMIT 1",True,,30.993,2,improved+retry
Show all customers in alphabetical order by last name.,"SELECT FirstName, LastName FROM Customer ORDER BY LastName ASC",SELECT * FROM Customer ORDER BY LastName,True,,12.299,1,improved+retry
List all employees hired after the year 2003.,"SELECT FirstName, LastName, HireDate FROM Employee WHERE strftime('%Y', HireDate) > '2003'","SELECT LastName, FirstName, HireDate FROM Employee WHERE HireDate > '2003-01-01'",True,,5.789,1,improved+retry
What is the average track length in minutes?,SELECT AVG(Milliseconds) / 60000.0 AS avg_length_minutes FROM Track,SELECT AVG(Milliseconds / 1000.0) FROM Track,True,,3.617,1,improved+retry
Which album has the most tracks?,"SELECT Album.Title, COUNT(Track.TrackId) AS track_count FROM Album JOIN Track ON Album.AlbumId = Track.AlbumId GROUP BY Album.AlbumId ORDER BY track_count DESC LIMIT 1","SELECT
  Album.Title
FROM Album
JOIN Track
  ON Album.AlbumId = Track.AlbumId
GROUP BY
  Album.AlbumId
ORDER BY
  COUNT(Track.TrackId) DESC
LIMIT 1",True,,9.693,1,improved+retry
Show all invoice line items for invoice ID 1.,SELECT * FROM InvoiceLine WHERE InvoiceId = 1,SELECT * FROM InvoiceLine WHERE InvoiceId = 1,True,,2.872,1,improved+retry
List all tracks available in MP3 format.,SELECT Track.Name FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId WHERE MediaType.Name = 'MPEG audio file',SELECT DISTINCT T.Name FROM Track AS T JOIN MediaType AS MT ON T.MediaTypeId = MT.MediaTypeId WHERE MT.Name = 'MP3',True,,6.137,1,improved+retry
